chrom	chrom_key	start	end	window_length	DNA_bp	DNA_density	Helitron_bp	Helitron_density	LINE_bp	LINE_density	LTR_bp	LTR_density	SINE_bp	SINE_density	Unknown_bp	Unknown_density	GENE_bp	GENE_density
CP002684.1	1	17800000	18800000	1000000	69232	0.069232	17888	0.017888	11211	0.011211	46731	0.046731	521	0.000521	15471	0.015471	3303985	3.303985
CP002684.1	1	17900000	18900000	1000000	82245	0.082245	17702	0.017702	11481	0.011481	52730	0.05273	521	0.000521	15086	0.015086	3226456	3.226456
CP002684.1	1	18000000	19000000	1000000	80023	0.080023	19212	0.019212	13103	0.013103	56243	0.056243	389	0.000389	15533	0.015533	3111961	3.111961
CP002684.1	1	18100000	19100000	1000000	80181	0.080181	22698	0.022698	13476	0.013476	46659	0.046659	546	0.000546	15975	0.015975	3026340	3.02634
CP002684.1	1	18200000	19200000	1000000	64871	0.064871	25056	0.025056	16461	0.016461	42669	0.042669	546	0.000546	15785	0.015785	2943735	2.943735
CP002684.1	1	18300000	19300000	1000000	60277	0.060277	23571	0.023571	16682	0.016682	37075	0.037075	683	0.000683	15467	0.015467	2875871	2.875871
CP002684.1	1	18400000	19400000	1000000	61691	0.061691	25466	0.025466	19457	0.019457	36143	0.036143	516	0.000516	14689	0.014689	2823926	2.823926
CP002684.1	1	18500000	19500000	1000000	63962	0.063962	28084	0.028084	20024	0.020024	35964	0.035964	516	0.000516	16607	0.016607	2718377	2.718377
CP002684.1	1	18600000	19600000	1000000	56393	0.056393	28503	0.028503	19744	0.019744	36634	0.036634	516	0.000516	17601	0.017601	2680872	2.680872
CP002684.1	1	18700000	19700000	1000000	53056	0.053056	30822	0.030822	15214	0.015214	36780	0.03678	516	0.000516	17848	0.017848	2704512	2.704512
CP002684.1	1	18800000	19800000	1000000	51952	0.051952	29459	0.029459	14896	0.014896	29220	0.02922	294	0.000294	22054	0.022054	2640804	2.640804
CP002684.1	1	18900000	19900000	1000000	38972	0.038972	28881	0.028881	14994	0.014994	21688	0.021688	294	0.000294	21698	0.021698	2579835	2.579835
CP002684.1	1	19000000	20000000	1000000	40262	0.040262	27103	0.027103	12327	0.012327	11440	0.01144	294	0.000294	21174	0.021174	2552001	2.552001
CP002684.1	1	19100000	20100000	1000000	34708	0.034708	22216	0.022216	13531	0.013531	15438	0.015438	137	0.000137	21500	0.0215	2475707	2.475707
CP002684.1	1	19200000	20200000	1000000	36070	0.03607	18398	0.018398	12939	0.012939	14905	0.014905	137	0.000137	22916	0.022916	2410446	2.410446
CP002684.1	1	19300000	20300000	1000000	38752	0.038752	18046	0.018046	13028	0.013028	13620	0.01362	0	0.0	24210	0.02421	2354929	2.354929
CP002684.1	1	19400000	20400000	1000000	34609	0.034609	17441	0.017441	9066	0.009066	20369	0.020369	0	0.0	23281	0.023281	2277831	2.277831
CP002684.1	1	19500000	20500000	1000000	28367	0.028367	16749	0.016749	8827	0.008827	18792	0.018792	154	0.000154	18945	0.018945	2234976	2.234976
CP002684.1	1	19600000	20600000	1000000	29538	0.029538	13435	0.013435	8343	0.008343	19199	0.019199	154	0.000154	19477	0.019477	2141483	2.141483
CP002684.1	1	19700000	20700000	1000000	33378	0.033378	10936	0.010936	8193	0.008193	19001	0.019001	259	0.000259	18301	0.018301	2037038	2.037038
CP002684.1	1	19800000	20800000	1000000	32941	0.032941	8985	0.008985	10406	0.010406	16365	0.016365	259	0.000259	15744	0.015744	2051246	2.051246
CP002684.1	1	19900000	20900000	1000000	32726	0.032726	10801	0.010801	9482	0.009482	17105	0.017105	259	0.000259	15733	0.015733	2087212	2.087212
CP002684.1	1	20000000	21000000	1000000	28992	0.028992	9455	0.009455	9588	0.009588	17005	0.017005	259	0.000259	16460	0.01646	2094233	2.094233
CP002684.1	1	20100000	21100000	1000000	30642	0.030642	10299	0.010299	7922	0.007922	13253	0.013253	259	0.000259	14414	0.014414	2100449	2.100449
CP002684.1	1	20200000	21200000	1000000	28359	0.028359	11754	0.011754	6720	0.00672	13484	0.013484	259	0.000259	14748	0.014748	2080473	2.080473
CP002684.1	1	20300000	21300000	1000000	24139	0.024139	12573	0.012573	6932	0.006932	18322	0.018322	423	0.000423	12716	0.012716	2048527	2.048527
CP002684.1	1	20400000	21400000	1000000	23856	0.023856	12633	0.012633	9702	0.009702	16829	0.016829	545	0.000545	12401	0.012401	2023915	2.023915
CP002684.1	1	20500000	21500000	1000000	23093	0.023093	10371	0.010371	14513	0.014513	13999	0.013999	391	0.000391	12351	0.012351	2027928	2.027928
CP002684.1	1	20600000	21600000	1000000	22104	0.022104	12386	0.012386	14513	0.014513	19803	0.019803	391	0.000391	10651	0.010651	2031448	2.031448
CP002684.1	1	20700000	21700000	1000000	20183	0.020183	12927	0.012927	14628	0.014628	19934	0.019934	451	0.000451	12234	0.012234	2033063	2.033063
CP002684.1	1	20800000	21800000	1000000	19497	0.019497	14529	0.014529	12415	0.012415	26891	0.026891	451	0.000451	13252	0.013252	2026513	2.026513
CP002684.1	1	20900000	21900000	1000000	18177	0.018177	14288	0.014288	18165	0.018165	33102	0.033102	451	0.000451	14384	0.014384	1987236	1.987236
CP002684.1	1	21000000	22000000	1000000	19956	0.019956	14870	0.01487	18374	0.018374	33102	0.033102	749	0.000749	13302	0.013302	1954767	1.954767
CP002684.1	1	21100000	22100000	1000000	19724	0.019724	14026	0.014026	18612	0.018612	40299	0.040299	749	0.000749	14901	0.014901	1942323	1.942323
CP002684.1	1	21200000	22200000	1000000	24072	0.024072	12057	0.012057	17736	0.017736	44831	0.044831	920	0.00092	13167	0.013167	1918300	1.9183
CP002684.1	1	21300000	22300000	1000000	24116	0.024116	11792	0.011792	18954	0.018954	44084	0.044084	912	0.000912	13364	0.013364	1921242	1.921242
CP002684.1	1	21400000	22400000	1000000	23340	0.02334	10210	0.01021	16383	0.016383	45108	0.045108	790	0.00079	14080	0.01408	1933427	1.933427
CP002684.1	1	21500000	22500000	1000000	25145	0.025145	9695	0.009695	10438	0.010438	44410	0.04441	790	0.00079	14177	0.014177	1957989	1.957989
CP002684.1	1	21600000	22600000	1000000	29498	0.029498	9303	0.009303	15426	0.015426	51245	0.051245	965	0.000965	14326	0.014326	1965136	1.965136
CP002684.1	1	21700000	22700000	1000000	30141	0.030141	9097	0.009097	18234	0.018234	58497	0.058497	800	0.0008	13507	0.013507	1992099	1.992099
CP002684.1	1	21800000	22800000	1000000	30282	0.030282	7497	0.007497	18234	0.018234	51687	0.051687	971	0.000971	10178	0.010178	1988281	1.988281
CP002684.1	1	21900000	22900000	1000000	30086	0.030086	6577	0.006577	12853	0.012853	44736	0.044736	971	0.000971	10181	0.010181	1974738	1.974738
CP002684.1	1	22000000	23000000	1000000	28841	0.028841	5995	0.005995	13068	0.013068	51369	0.051369	673	0.000673	9540	0.00954	1966699	1.966699
CP002684.1	1	22100000	23100000	1000000	30662	0.030662	6722	0.006722	12688	0.012688	43822	0.043822	673	0.000673	8355	0.008355	1966612	1.966612
CP002684.1	1	22200000	23200000	1000000	26242	0.026242	7882	0.007882	12516	0.012516	59846	0.059846	502	0.000502	8323	0.008323	1963094	1.963094
CP002684.1	1	22300000	23300000	1000000	31437	0.031437	8966	0.008966	15606	0.015606	55801	0.055801	346	0.000346	7077	0.007077	1956570	1.95657
CP002684.1	1	22400000	23400000	1000000	31206	0.031206	8966	0.008966	15043	0.015043	49846	0.049846	346	0.000346	6465	0.006465	1952039	1.952039
CP002684.1	1	22500000	23500000	1000000	29124	0.029124	7939	0.007939	14812	0.014812	49846	0.049846	346	0.000346	6175	0.006175	1937092	1.937092
CP002684.1	1	22600000	23600000	1000000	24485	0.024485	6272	0.006272	9824	0.009824	36130	0.03613	171	0.000171	5469	0.005469	1898018	1.898018
CP002684.1	1	22700000	23700000	1000000	21256	0.021256	5809	0.005809	7008	0.007008	28645	0.028645	171	0.000171	4432	0.004432	1836924	1.836924
CP002684.1	1	22800000	23800000	1000000	21104	0.021104	5616	0.005616	8249	0.008249	28498	0.028498	164	0.000164	4535	0.004535	1778892	1.778892
CP002684.1	1	22900000	23900000	1000000	20671	0.020671	5165	0.005165	8356	0.008356	28922	0.028922	164	0.000164	4641	0.004641	1731968	1.731968
CP002684.1	1	23000000	24000000	1000000	19997	0.019997	5658	0.005658	8105	0.008105	24846	0.024846	164	0.000164	4462	0.004462	1672404	1.672404
CP002684.1	1	23100000	24100000	1000000	18801	0.018801	5609	0.005609	7763	0.007763	25026	0.025026	164	0.000164	4438	0.004438	1619205	1.619205
CP002684.1	1	23200000	24200000	1000000	20090	0.02009	4707	0.004707	7441	0.007441	4020	0.00402	331	0.000331	3594	0.003594	1610757	1.610757
CP002684.1	1	23300000	24300000	1000000	15314	0.015314	2855	0.002855	2851	0.002851	4448	0.004448	331	0.000331	3406	0.003406	1573600	1.5736
CP002684.1	1	23400000	24400000	1000000	14930	0.01493	2855	0.002855	3685	0.003685	4295	0.004295	627	0.000627	5897	0.005897	1504752	1.504752
CP002684.1	1	23500000	24500000	1000000	15492	0.015492	3751	0.003751	6617	0.006617	4718	0.004718	627	0.000627	7882	0.007882	1414277	1.414277
CP002684.1	1	23600000	24600000	1000000	17920	0.01792	4339	0.004339	6617	0.006617	4718	0.004718	627	0.000627	8442	0.008442	1383988	1.383988
CP002684.1	1	23700000	24700000	1000000	18782	0.018782	3764	0.003764	6796	0.006796	4542	0.004542	627	0.000627	9625	0.009625	1355600	1.3556
CP002684.1	1	23800000	24800000	1000000	20130	0.02013	3946	0.003946	5555	0.005555	4542	0.004542	463	0.000463	10955	0.010955	1336314	1.336314
CP002684.1	1	23900000	24900000	1000000	23732	0.023732	4118	0.004118	5079	0.005079	4118	0.004118	463	0.000463	9978	0.009978	1350167	1.350167
CP002684.1	1	24000000	25000000	1000000	24088	0.024088	3625	0.003625	4749	0.004749	1924	0.001924	463	0.000463	10717	0.010717	1355143	1.355143
CP002684.1	1	24100000	25100000	1000000	22334	0.022334	2947	0.002947	5603	0.005603	1744	0.001744	463	0.000463	10678	0.010678	1340572	1.340572
CP002684.1	1	24200000	25200000	1000000	19513	0.019513	3278	0.003278	5603	0.005603	1744	0.001744	296	0.000296	10088	0.010088	1318804	1.318804
CP002684.1	1	24300000	25300000	1000000	18786	0.018786	3784	0.003784	5021	0.005021	1153	0.001153	296	0.000296	10460	0.01046	1311890	1.31189
CP002684.1	1	24400000	25400000	1000000	19082	0.019082	4381	0.004381	4731	0.004731	981	0.000981	0	0.0	7865	0.007865	1326594	1.326594
CP002684.1	1	24500000	25500000	1000000	19133	0.019133	3485	0.003485	1799	0.001799	558	0.000558	0	0.0	5880	0.00588	1362624	1.362624
CP002684.1	1	24600000	25600000	1000000	17945	0.017945	2250	0.00225	1799	0.001799	907	0.000907	0	0.0	5320	0.00532	1368715	1.368715
CP002684.1	1	24700000	25700000	1000000	18867	0.018867	2250	0.00225	1617	0.001617	907	0.000907	0	0.0	5792	0.005792	1370151	1.370151
CP002684.1	1	24800000	25800000	1000000	17076	0.017076	2068	0.002068	1617	0.001617	1282	0.001282	0	0.0	5107	0.005107	1382203	1.382203
CP002684.1	1	24900000	25900000	1000000	14100	0.0141	2458	0.002458	1617	0.001617	1282	0.001282	0	0.0	4840	0.00484	1356602	1.356602
CP002684.1	1	25000000	26000000	1000000	14263	0.014263	3725	0.003725	1502	0.001502	919	0.000919	0	0.0	4516	0.004516	1373306	1.373306
CP002684.1	1	25100000	26100000	1000000	14229	0.014229	3725	0.003725	648	0.000648	919	0.000919	0	0.0	4554	0.004554	1382355	1.382355
CP002684.1	1	25200000	26200000	1000000	16252	0.016252	3136	0.003136	648	0.000648	1141	0.001141	0	0.0	4554	0.004554	1376443	1.376443
CP002684.1	1	25300000	26300000	1000000	16918	0.016918	3045	0.003045	748	0.000748	2365	0.002365	0	0.0	4182	0.004182	1355078	1.355078
CP002684.1	1	25400000	26400000	1000000	16828	0.016828	2991	0.002991	332	0.000332	7427	0.007427	0	0.0	4182	0.004182	1345552	1.345552
CP002684.1	1	25500000	26500000	1000000	15680	0.01568	2991	0.002991	332	0.000332	7833	0.007833	0	0.0	6564	0.006564	1346452	1.346452
CP002684.1	1	25600000	26600000	1000000	13923	0.013923	3614	0.003614	332	0.000332	7484	0.007484	0	0.0	7120	0.00712	1345425	1.345425
CP002684.1	1	25700000	26700000	1000000	11097	0.011097	3614	0.003614	435	0.000435	7484	0.007484	161	0.000161	5569	0.005569	1356530	1.35653
CP002684.1	1	25800000	26800000	1000000	9122	0.009122	3614	0.003614	435	0.000435	7109	0.007109	161	0.000161	7270	0.00727	1345521	1.345521
CP002684.1	1	25900000	26900000	1000000	8231	0.008231	2848	0.002848	435	0.000435	7109	0.007109	161	0.000161	10007	0.010007	1376731	1.376731
CP002684.1	1	26000000	27000000	1000000	7179	0.007179	1581	0.001581	435	0.000435	7109	0.007109	161	0.000161	9128	0.009128	1356331	1.356331
CP002684.1	1	26100000	27100000	1000000	6444	0.006444	1581	0.001581	435	0.000435	7109	0.007109	161	0.000161	8594	0.008594	1281849	1.281849
CP002684.1	1	26200000	27200000	1000000	5280	0.00528	1581	0.001581	435	0.000435	6887	0.006887	161	0.000161	8594	0.008594	1221146	1.221146
CP002684.1	1	26300000	27300000	1000000	4200	0.0042	1166	0.001166	335	0.000335	5468	0.005468	161	0.000161	9150	0.00915	1173577	1.173577
CP002684.1	1	26400000	27400000	1000000	3341	0.003341	623	0.000623	207	0.000207	406	0.000406	161	0.000161	9150	0.00915	1122069	1.122069
CP002684.1	1	26500000	27500000	1000000	3036	0.003036	623	0.000623	389	0.000389	0	0.0	337	0.000337	6768	0.006768	1054254	1.054254
CP002684.1	1	26600000	27600000	1000000	2824	0.002824	0	0.0	2065	0.002065	0	0.0	337	0.000337	6212	0.006212	986441	0.986441
CP002684.1	1	26700000	27700000	1000000	2752	0.002752	0	0.0	1858	0.001858	0	0.0	176	0.000176	6315	0.006315	925088	0.925088
CP002684.1	1	26800000	27800000	1000000	2752	0.002752	0	0.0	1858	0.001858	0	0.0	176	0.000176	3866	0.003866	879758	0.879758
CP002684.1	1	26900000	27900000	1000000	3872	0.003872	0	0.0	1858	0.001858	0	0.0	176	0.000176	1709	0.001709	806564	0.806564
CP002684.1	1	27000000	28000000	1000000	3970	0.00397	0	0.0	1858	0.001858	0	0.0	176	0.000176	2502	0.002502	761425	0.761425
CP002684.1	1	27100000	28100000	1000000	4673	0.004673	0	0.0	1858	0.001858	0	0.0	176	0.000176	2502	0.002502	772862	0.772862
CP002684.1	1	27200000	28200000	1000000	3941	0.003941	0	0.0	1858	0.001858	0	0.0	176	0.000176	3790	0.00379	783857	0.783857
CP002684.1	1	27300000	28300000	1000000	4345	0.004345	0	0.0	1858	0.001858	0	0.0	176	0.000176	3234	0.003234	784729	0.784729
CP002684.1	1	27400000	28400000	1000000	5730	0.00573	1705	0.001705	1858	0.001858	0	0.0	176	0.000176	3234	0.003234	743439	0.743439
CP002684.1	1	27500000	28500000	1000000	5289	0.005289	1705	0.001705	1676	0.001676	0	0.0	0	0.0	3234	0.003234	725299	0.725299
CP002684.1	1	27600000	28600000	1000000	6464	0.006464	2148	0.002148	0	0.0	0	0.0	0	0.0	3234	0.003234	720610	0.72061
CP002684.1	1	27700000	28700000	1000000	6317	0.006317	2148	0.002148	0	0.0	0	0.0	0	0.0	2871	0.002871	725629	0.725629
CP002684.1	1	27800000	28800000	1000000	6582	0.006582	2562	0.002562	0	0.0	0	0.0	0	0.0	2871	0.002871	711866	0.711866
CP002684.1	1	27900000	28900000	1000000	6336	0.006336	2562	0.002562	0	0.0	0	0.0	0	0.0	2631	0.002631	697188	0.697188
CP002684.1	1	28000000	29000000	1000000	6317	0.006317	2562	0.002562	0	0.0	586	0.000586	0	0.0	2846	0.002846	675179	0.675179
CP002684.1	1	28100000	29100000	1000000	5614	0.005614	3159	0.003159	0	0.0	586	0.000586	0	0.0	2846	0.002846	681424	0.681424
CP002684.1	1	28200000	29200000	1000000	5914	0.005914	3159	0.003159	0	0.0	586	0.000586	0	0.0	1558	0.001558	680673	0.680673
CP002684.1	1	28300000	29300000	1000000	5510	0.00551	3159	0.003159	510	0.00051	750	0.00075	0	0.0	2099	0.002099	665225	0.665225
CP002684.1	1	28400000	29400000	1000000	7772	0.007772	2844	0.002844	510	0.00051	750	0.00075	0	0.0	2099	0.002099	686114	0.686114
CP002684.1	1	28500000	29500000	1000000	8512	0.008512	2997	0.002997	510	0.00051	750	0.00075	0	0.0	2099	0.002099	676689	0.676689
CP002684.1	1	28600000	29600000	1000000	7083	0.007083	2554	0.002554	510	0.00051	750	0.00075	0	0.0	2099	0.002099	681114	0.681114
CP002684.1	1	28700000	29700000	1000000	8377	0.008377	2554	0.002554	510	0.00051	750	0.00075	0	0.0	2266	0.002266	694615	0.694615
CP002684.1	1	28800000	29800000	1000000	8112	0.008112	2140	0.00214	651	0.000651	750	0.00075	0	0.0	3145	0.003145	707326	0.707326
CP002684.1	1	28900000	29900000	1000000	7506	0.007506	2140	0.00214	651	0.000651	750	0.00075	0	0.0	2595	0.002595	721755	0.721755
CP002684.1	1	29000000	30000000	1000000	8683	0.008683	2140	0.00214	651	0.000651	164	0.000164	0	0.0	1587	0.001587	744175	0.744175
CP002684.1	1	29100000	30100000	1000000	8850	0.00885	1543	0.001543	651	0.000651	164	0.000164	0	0.0	1587	0.001587	756760	0.75676
CP002684.1	1	29200000	30200000	1000000	8084	0.008084	1543	0.001543	651	0.000651	164	0.000164	0	0.0	1587	0.001587	760006	0.760006
CP002684.1	1	29300000	30300000	1000000	12000	0.012	1543	0.001543	141	0.000141	0	0.0	0	0.0	1692	0.001692	769735	0.769735
CP002684.1	1	29400000	30400000	1000000	8353	0.008353	153	0.000153	141	0.000141	0	0.0	0	0.0	1692	0.001692	789939	0.789939
CP002684.1	1	29500000	30427671	927671	7613	0.008206573235554415	0	0.0	141	0.00015199354081349962	0	0.0	0	0.0	1692	0.0018239224897619955	755142	0.8140191943048775
CP002684.1	1	29600000	30427671	827671	7613	0.009198099244748216	0	0.0	141	0.00017035754544982246	0	0.0	0	0.0	1692	0.0020442905453978695	679257	0.8206847890043266
CP002684.1	1	29700000	30427671	727671	6319	0.008683869495967271	0	0.0	141	0.00019376888731308518	0	0.0	0	0.0	1525	0.0020957273273223753	591764	0.8132301548364577
CP002684.1	1	29800000	30427671	627671	6319	0.010067376061662877	0	0.0	0	0.0	0	0.0	0	0.0	646	0.0010292016040250385	513410	0.8179603645859057
CP002684.1	1	29900000	30427671	527671	5711	0.010823031775481313	0	0.0	0	0.0	0	0.0	0	0.0	646	0.0012242476846368287	432494	0.8196281395035921
CP002684.1	1	30000000	30427671	427671	4083	0.009547058369634603	0	0.0	0	0.0	0	0.0	0	0.0	646	0.001510506908347772	344678	0.8059419507050981
CP002684.1	1	30100000	30427671	327671	3916	0.011951011838093698	0	0.0	0	0.0	0	0.0	0	0.0	646	0.0019714896954567233	252986	0.7720732075771124
CP002684.1	1	30200000	30427671	227671	3916	0.017200258267412186	0	0.0	0	0.0	0	0.0	0	0.0	646	0.002837427691713042	172266	0.756644456254859
CP002684.1	1	30300000	30427671	127671	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	102135	0.7999859012618371
CP002684.1	1	30400000	30427671	27671	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	23031	0.8323154204763109
CP002685.1	1	0	1000000	1000000	49068	0.049068	30622	0.030622	29913	0.029913	80394	0.080394	1575	0.001575	26184	0.026184	3722888	3.722888
CP002685.1	1	100000	1100000	1000000	54120	0.05412	33711	0.033711	28381	0.028381	20525	0.020525	1587	0.001587	27759	0.027759	3685413	3.685413
CP002685.1	1	200000	1200000	1000000	55278	0.055278	32642	0.032642	29432	0.029432	18130	0.01813	1587	0.001587	28857	0.028857	3629273	3.629273
CP002685.1	1	300000	1300000	1000000	58223	0.058223	33139	0.033139	27793	0.027793	20385	0.020385	1270	0.00127	31508	0.031508	3506377	3.506377
CP002685.1	1	400000	1400000	1000000	64760	0.06476	29621	0.029621	23551	0.023551	29602	0.029602	943	0.000943	31340	0.03134	3463860	3.46386
CP002685.1	1	500000	1500000	1000000	72347	0.072347	31305	0.031305	30040	0.03004	31441	0.031441	618	0.000618	31329	0.031329	3426889	3.426889
CP002685.1	1	600000	1600000	1000000	72616	0.072616	29772	0.029772	32178	0.032178	39230	0.03923	775	0.000775	31151	0.031151	3444983	3.444983
CP002685.1	1	700000	1700000	1000000	77347	0.077347	32310	0.03231	32827	0.032827	92592	0.092592	777	0.000777	28869	0.028869	3403905	3.403905
CP002685.1	1	800000	1800000	1000000	76151	0.076151	30396	0.030396	33869	0.033869	120689	0.120689	453	0.000453	25706	0.025706	3320362	3.320362
CP002685.1	1	900000	1900000	1000000	91800	0.0918	32420	0.03242	43336	0.043336	150748	0.150748	625	0.000625	28011	0.028011	3213319	3.213319
CP002685.1	1	1000000	2000000	1000000	94623	0.094623	38725	0.038725	52146	0.052146	173828	0.173828	625	0.000625	27611	0.027611	3140516	3.140516
CP002685.1	1	1100000	2100000	1000000	94728	0.094728	37142	0.037142	61647	0.061647	204321	0.204321	613	0.000613	25486	0.025486	3080963	3.080963
CP002685.1	1	1200000	2200000	1000000	103964	0.103964	37091	0.037091	67297	0.067297	222101	0.222101	905	0.000905	27788	0.027788	3012067	3.012067
CP002685.1	1	1300000	2300000	1000000	106419	0.106419	39093	0.039093	64814	0.064814	243943	0.243943	1029	0.001029	26694	0.026694	2987833	2.987833
CP002685.1	1	1400000	2400000	1000000	103234	0.103234	42283	0.042283	75899	0.075899	258896	0.258896	1196	0.001196	24715	0.024715	2942879	2.942879
CP002685.1	1	1500000	2500000	1000000	94390	0.09439	42911	0.042911	74407	0.074407	301282	0.301282	1376	0.001376	24210	0.02421	2944735	2.944735
CP002685.1	1	1600000	2600000	1000000	95510	0.09551	43519	0.043519	78040	0.07804	320395	0.320395	1219	0.001219	26194	0.026194	2908946	2.908946
CP002685.1	1	1700000	2700000	1000000	99836	0.099836	45832	0.045832	82990	0.08299	283126	0.283126	1235	0.001235	28648	0.028648	2902834	2.902834
CP002685.1	1	1800000	2800000	1000000	105975	0.105975	44010	0.04401	87530	0.08753	283240	0.28324	1235	0.001235	28608	0.028608	2936294	2.936294
CP002685.1	1	1900000	2900000	1000000	94435	0.094435	44193	0.044193	80480	0.08048	333778	0.333778	1063	0.001063	27087	0.027087	2942299	2.942299
CP002685.1	1	2000000	3000000	1000000	92887	0.092887	39442	0.039442	81176	0.081176	338798	0.338798	1063	0.001063	27751	0.027751	2961986	2.961986
CP002685.1	1	2100000	3100000	1000000	86979	0.086979	39126	0.039126	70760	0.07076	387380	0.38738	921	0.000921	28437	0.028437	2910694	2.910694
CP002685.1	1	2200000	3200000	1000000	79777	0.079777	39147	0.039147	72360	0.07236	459216	0.459216	629	0.000629	30118	0.030118	2871060	2.87106
CP002685.1	1	2300000	3300000	1000000	72189	0.072189	34724	0.034724	75790	0.07579	486567	0.486567	505	0.000505	30270	0.03027	2854507	2.854507
CP002685.1	1	2400000	3400000	1000000	67131	0.067131	28322	0.028322	65660	0.06566	521506	0.521506	338	0.000338	31254	0.031254	2868701	2.868701
CP002685.1	1	2500000	3500000	1000000	68243	0.068243	24981	0.024981	60656	0.060656	529621	0.529621	158	0.000158	31905	0.031905	2821724	2.821724
CP002685.1	1	2600000	3600000	1000000	69652	0.069652	23891	0.023891	54856	0.054856	592370	0.59237	158	0.000158	29740	0.02974	2739939	2.739939
CP002685.1	1	2700000	3700000	1000000	58783	0.058783	17962	0.017962	43540	0.04354	678030	0.67803	0	0.0	26243	0.026243	2705447	2.705447
CP002685.1	1	2800000	3800000	1000000	57448	0.057448	17018	0.017018	46917	0.046917	734796	0.734796	0	0.0	28879	0.028879	2621984	2.621984
CP002685.1	1	2900000	3900000	1000000	66932	0.066932	15956	0.015956	44946	0.044946	765961	0.765961	0	0.0	28007	0.028007	2581123	2.581123
CP002685.1	1	3000000	4000000	1000000	68506	0.068506	14333	0.014333	37928	0.037928	835424	0.835424	0	0.0	26110	0.02611	2533999	2.533999
CP002685.1	1	3100000	4100000	1000000	78274	0.078274	16149	0.016149	39152	0.039152	811460	0.81146	0	0.0	26736	0.026736	2524423	2.524423
CP002685.1	1	3200000	4200000	1000000	86244	0.086244	14190	0.01419	34248	0.034248	832389	0.832389	0	0.0	22091	0.022091	2508528	2.508528
CP002685.1	1	3300000	4300000	1000000	89410	0.08941	15519	0.015519	33208	0.033208	881857	0.881857	0	0.0	21022	0.021022	2460082	2.460082
CP002685.1	1	3400000	4400000	1000000	117390	0.11739	18673	0.018673	34678	0.034678	878631	0.878631	0	0.0	19040	0.01904	2416151	2.416151
CP002685.1	1	3500000	4500000	1000000	114595	0.114595	21823	0.021823	38174	0.038174	926825	0.926825	0	0.0	19348	0.019348	2372219	2.372219
CP002685.1	1	3600000	4600000	1000000	113280	0.11328	21770	0.02177	39662	0.039662	929662	0.929662	0	0.0	20268	0.020268	2351483	2.351483
CP002685.1	1	3700000	4700000	1000000	133949	0.133949	23975	0.023975	39321	0.039321	882904	0.882904	0	0.0	22485	0.022485	2325141	2.325141
CP002685.1	1	3800000	4800000	1000000	130673	0.130673	27310	0.02731	40355	0.040355	886534	0.886534	0	0.0	22578	0.022578	2319292	2.319292
CP002685.1	1	3900000	4900000	1000000	126152	0.126152	27325	0.027325	48553	0.048553	813738	0.813738	0	0.0	22253	0.022253	2329378	2.329378
CP002685.1	1	4000000	5000000	1000000	167173	0.167173	28349	0.028349	53481	0.053481	777737	0.777737	124	0.000124	23884	0.023884	2290080	2.29008
CP002685.1	1	4100000	5100000	1000000	161059	0.161059	25703	0.025703	57438	0.057438	835312	0.835312	124	0.000124	22958	0.022958	2299565	2.299565
CP002685.1	1	4200000	5200000	1000000	160709	0.160709	26977	0.026977	65498	0.065498	785600	0.7856	124	0.000124	26252	0.026252	2331315	2.331315
CP002685.1	1	4300000	5300000	1000000	160689	0.160689	27369	0.027369	70589	0.070589	748391	0.748391	124	0.000124	28984	0.028984	2354137	2.354137
CP002685.1	1	4400000	5400000	1000000	138463	0.138463	26895	0.026895	69544	0.069544	765169	0.765169	227	0.000227	29160	0.02916	2353849	2.353849
CP002685.1	1	4500000	5500000	1000000	148239	0.148239	28853	0.028853	67270	0.06727	689280	0.68928	227	0.000227	33702	0.033702	2388730	2.38873
CP002685.1	1	4600000	5600000	1000000	153675	0.153675	32757	0.032757	65444	0.065444	638934	0.638934	227	0.000227	33626	0.033626	2490010	2.49001
CP002685.1	1	4700000	5700000	1000000	138817	0.138817	40855	0.040855	81446	0.081446	603791	0.603791	333	0.000333	35556	0.035556	2536141	2.536141
CP002685.1	1	4800000	5800000	1000000	149834	0.149834	38772	0.038772	71958	0.071958	536090	0.53609	482	0.000482	35638	0.035638	2629152	2.629152
CP002685.1	1	4900000	5900000	1000000	141905	0.141905	42319	0.042319	64336	0.064336	529287	0.529287	482	0.000482	41805	0.041805	2647605	2.647605
CP002685.1	1	5000000	6000000	1000000	103693	0.103693	40997	0.040997	60805	0.060805	491205	0.491205	653	0.000653	42518	0.042518	2719598	2.719598
CP002685.1	1	5100000	6100000	1000000	102250	0.10225	48834	0.048834	56867	0.056867	403761	0.403761	653	0.000653	43472	0.043472	2772359	2.772359
CP002685.1	1	5200000	6200000	1000000	96513	0.096513	54637	0.054637	51888	0.051888	361397	0.361397	917	0.000917	43927	0.043927	2808005	2.808005
CP002685.1	1	5300000	6300000	1000000	100093	0.100093	58157	0.058157	46560	0.04656	311012	0.311012	1058	0.001058	45925	0.045925	2868619	2.868619
CP002685.1	1	5400000	6400000	1000000	99403	0.099403	59697	0.059697	46026	0.046026	233101	0.233101	1120	0.00112	47889	0.047889	2912368	2.912368
