chrom	chrom_key	start	end	window_length	ATHILA_bp	ATHILA_density	REINA_bp	REINA_density	TAT_bp	TAT_density	TEKAY-DEL_bp	TEKAY-DEL_density	Unknown_bp	Unknown_density	GENE_bp	GENE_density
CP002684.1	1	19900000	20900000	1000000	618	0.000618	5222	0.005222	2331	0.002331	0	0.0	1362	0.001362	2087212	2.087212
CP002684.1	1	20000000	21000000	1000000	618	0.000618	5222	0.005222	2331	0.002331	0	0.0	1362	0.001362	2094233	2.094233
CP002684.1	1	20100000	21100000	1000000	618	0.000618	5222	0.005222	2331	0.002331	0	0.0	1405	0.001405	2100449	2.100449
CP002684.1	1	20200000	21200000	1000000	618	0.000618	5222	0.005222	2331	0.002331	0	0.0	1300	0.0013	2080473	2.080473
CP002684.1	1	20300000	21300000	1000000	618	0.000618	5222	0.005222	2331	0.002331	0	0.0	1300	0.0013	2048527	2.048527
CP002684.1	1	20400000	21400000	1000000	0	0.0	0	0.0	2331	0.002331	0	0.0	609	0.000609	2023915	2.023915
CP002684.1	1	20500000	21500000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	609	0.000609	2027928	2.027928
CP002684.1	1	20600000	21600000	1000000	0	0.0	0	0.0	620	0.00062	0	0.0	609	0.000609	2031448	2.031448
CP002684.1	1	20700000	21700000	1000000	0	0.0	0	0.0	620	0.00062	0	0.0	609	0.000609	2033063	2.033063
CP002684.1	1	20800000	21800000	1000000	0	0.0	0	0.0	620	0.00062	0	0.0	609	0.000609	2026513	2.026513
CP002684.1	1	20900000	21900000	1000000	0	0.0	0	0.0	620	0.00062	0	0.0	672	0.000672	1987236	1.987236
CP002684.1	1	21000000	22000000	1000000	0	0.0	0	0.0	620	0.00062	0	0.0	672	0.000672	1954767	1.954767
CP002684.1	1	21100000	22100000	1000000	0	0.0	0	0.0	620	0.00062	0	0.0	542	0.000542	1942323	1.942323
CP002684.1	1	21200000	22200000	1000000	0	0.0	0	0.0	620	0.00062	295	0.000295	428	0.000428	1918300	1.9183
CP002684.1	1	21300000	22300000	1000000	0	0.0	0	0.0	1113	0.001113	295	0.000295	828	0.000828	1921242	1.921242
CP002684.1	1	21400000	22400000	1000000	0	0.0	0	0.0	1113	0.001113	295	0.000295	712	0.000712	1933427	1.933427
CP002684.1	1	21500000	22500000	1000000	0	0.0	0	0.0	1113	0.001113	295	0.000295	712	0.000712	1957989	1.957989
CP002684.1	1	21600000	22600000	1000000	0	0.0	0	0.0	9522	0.009522	295	0.000295	712	0.000712	1965136	1.965136
CP002684.1	1	21700000	22700000	1000000	0	0.0	0	0.0	9522	0.009522	295	0.000295	939	0.000939	1992099	1.992099
CP002684.1	1	21800000	22800000	1000000	0	0.0	0	0.0	9522	0.009522	295	0.000295	939	0.000939	1988281	1.988281
CP002684.1	1	21900000	22900000	1000000	0	0.0	0	0.0	9522	0.009522	295	0.000295	627	0.000627	1974738	1.974738
CP002684.1	1	22000000	23000000	1000000	0	0.0	0	0.0	9522	0.009522	295	0.000295	627	0.000627	1966699	1.966699
CP002684.1	1	22100000	23100000	1000000	0	0.0	0	0.0	9522	0.009522	295	0.000295	627	0.000627	1966612	1.966612
CP002684.1	1	22200000	23200000	1000000	0	0.0	0	0.0	16533	0.016533	0	0.0	627	0.000627	1963094	1.963094
CP002684.1	1	22300000	23300000	1000000	0	0.0	0	0.0	16040	0.01604	0	0.0	227	0.000227	1956570	1.95657
CP002684.1	1	22400000	23400000	1000000	0	0.0	0	0.0	16040	0.01604	0	0.0	227	0.000227	1952039	1.952039
CP002684.1	1	22500000	23500000	1000000	0	0.0	0	0.0	16040	0.01604	0	0.0	227	0.000227	1937092	1.937092
CP002684.1	1	22600000	23600000	1000000	0	0.0	0	0.0	7011	0.007011	0	0.0	227	0.000227	1898018	1.898018
CP002684.1	1	22700000	23700000	1000000	0	0.0	0	0.0	7011	0.007011	0	0.0	0	0.0	1836924	1.836924
CP002684.1	1	22800000	23800000	1000000	0	0.0	0	0.0	7011	0.007011	0	0.0	0	0.0	1778892	1.778892
CP002684.1	1	22900000	23900000	1000000	0	0.0	310	0.00031	7011	0.007011	0	0.0	0	0.0	1731968	1.731968
CP002684.1	1	23000000	24000000	1000000	0	0.0	310	0.00031	7011	0.007011	0	0.0	2405	0.002405	1672404	1.672404
CP002684.1	1	23100000	24100000	1000000	0	0.0	310	0.00031	7011	0.007011	0	0.0	2405	0.002405	1619205	1.619205
CP002684.1	1	23200000	24200000	1000000	0	0.0	310	0.00031	0	0.0	0	0.0	2405	0.002405	1610757	1.610757
CP002684.1	1	23300000	24300000	1000000	0	0.0	310	0.00031	0	0.0	0	0.0	2405	0.002405	1573600	1.5736
CP002684.1	1	23400000	24400000	1000000	0	0.0	310	0.00031	0	0.0	0	0.0	2405	0.002405	1504752	1.504752
CP002684.1	1	23500000	24500000	1000000	0	0.0	310	0.00031	0	0.0	0	0.0	2509	0.002509	1414277	1.414277
CP002684.1	1	23600000	24600000	1000000	0	0.0	310	0.00031	0	0.0	0	0.0	2509	0.002509	1383988	1.383988
CP002684.1	1	23700000	24700000	1000000	0	0.0	310	0.00031	0	0.0	0	0.0	2509	0.002509	1355600	1.3556
CP002684.1	1	23800000	24800000	1000000	0	0.0	310	0.00031	0	0.0	0	0.0	2509	0.002509	1336314	1.336314
CP002684.1	1	23900000	24900000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	2509	0.002509	1350167	1.350167
CP002684.1	1	24000000	25000000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	104	0.000104	1355143	1.355143
CP002684.1	1	24100000	25100000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	104	0.000104	1340572	1.340572
CP002684.1	1	24200000	25200000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	104	0.000104	1318804	1.318804
CP002684.1	1	24300000	25300000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	104	0.000104	1311890	1.31189
CP002684.1	1	24400000	25400000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	104	0.000104	1326594	1.326594
CP002684.1	1	24500000	25500000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1362624	1.362624
CP002684.1	1	24600000	25600000	1000000	0	0.0	349	0.000349	0	0.0	0	0.0	0	0.0	1368715	1.368715
CP002684.1	1	24700000	25700000	1000000	0	0.0	349	0.000349	0	0.0	0	0.0	0	0.0	1370151	1.370151
CP002684.1	1	24800000	25800000	1000000	0	0.0	349	0.000349	0	0.0	0	0.0	0	0.0	1382203	1.382203
CP002684.1	1	24900000	25900000	1000000	0	0.0	349	0.000349	0	0.0	0	0.0	0	0.0	1356602	1.356602
CP002684.1	1	25000000	26000000	1000000	0	0.0	349	0.000349	0	0.0	0	0.0	0	0.0	1373306	1.373306
CP002684.1	1	25100000	26100000	1000000	0	0.0	349	0.000349	0	0.0	0	0.0	0	0.0	1382355	1.382355
CP002684.1	1	25200000	26200000	1000000	0	0.0	349	0.000349	0	0.0	0	0.0	222	0.000222	1376443	1.376443
CP002684.1	1	25300000	26300000	1000000	0	0.0	349	0.000349	0	0.0	0	0.0	222	0.000222	1355078	1.355078
CP002684.1	1	25400000	26400000	1000000	0	0.0	349	0.000349	0	0.0	0	0.0	222	0.000222	1345552	1.345552
CP002684.1	1	25500000	26500000	1000000	0	0.0	349	0.000349	0	0.0	0	0.0	222	0.000222	1346452	1.346452
CP002684.1	1	25600000	26600000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	222	0.000222	1345425	1.345425
CP002684.1	1	25700000	26700000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	222	0.000222	1356530	1.35653
CP002684.1	1	25800000	26800000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	222	0.000222	1345521	1.345521
CP002684.1	1	25900000	26900000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	222	0.000222	1376731	1.376731
CP002684.1	1	26000000	27000000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	222	0.000222	1356331	1.356331
CP002684.1	1	26100000	27100000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	222	0.000222	1281849	1.281849
CP002684.1	1	26200000	27200000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1221146	1.221146
CP002684.1	1	26300000	27300000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1173577	1.173577
CP002684.1	1	26400000	27400000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1122069	1.122069
CP002684.1	1	26500000	27500000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1054254	1.054254
CP002684.1	1	26600000	27600000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	986441	0.986441
CP002684.1	1	26700000	27700000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	925088	0.925088
CP002684.1	1	26800000	27800000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	879758	0.879758
CP002684.1	1	26900000	27900000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	806564	0.806564
CP002684.1	1	27000000	28000000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	761425	0.761425
CP002684.1	1	27100000	28100000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	772862	0.772862
CP002684.1	1	27200000	28200000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	783857	0.783857
CP002684.1	1	27300000	28300000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	784729	0.784729
CP002684.1	1	27400000	28400000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	743439	0.743439
CP002684.1	1	27500000	28500000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	725299	0.725299
CP002684.1	1	27600000	28600000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	720610	0.72061
CP002684.1	1	27700000	28700000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	725629	0.725629
CP002684.1	1	27800000	28800000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	711866	0.711866
CP002684.1	1	27900000	28900000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	697188	0.697188
CP002684.1	1	28000000	29000000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	675179	0.675179
CP002684.1	1	28100000	29100000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	681424	0.681424
CP002684.1	1	28200000	29200000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	680673	0.680673
CP002684.1	1	28300000	29300000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	665225	0.665225
CP002684.1	1	28400000	29400000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	686114	0.686114
CP002684.1	1	28500000	29500000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	676689	0.676689
CP002684.1	1	28600000	29600000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	681114	0.681114
CP002684.1	1	28700000	29700000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	694615	0.694615
CP002684.1	1	28800000	29800000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	707326	0.707326
CP002684.1	1	28900000	29900000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	721755	0.721755
CP002684.1	1	29000000	30000000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	744175	0.744175
CP002684.1	1	29100000	30100000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	756760	0.75676
CP002684.1	1	29200000	30200000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	760006	0.760006
CP002684.1	1	29300000	30300000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	769735	0.769735
CP002684.1	1	29400000	30400000	1000000	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	789939	0.789939
CP002684.1	1	29500000	30427671	927671	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	755142	0.8140191943048775
CP002684.1	1	29600000	30427671	827671	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	679257	0.8206847890043266
CP002684.1	1	29700000	30427671	727671	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	591764	0.8132301548364577
CP002684.1	1	29800000	30427671	627671	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	513410	0.8179603645859057
CP002684.1	1	29900000	30427671	527671	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	432494	0.8196281395035921
CP002684.1	1	30000000	30427671	427671	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	344678	0.8059419507050981
CP002684.1	1	30100000	30427671	327671	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	252986	0.7720732075771124
CP002684.1	1	30200000	30427671	227671	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	172266	0.756644456254859
CP002684.1	1	30300000	30427671	127671	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	102135	0.7999859012618371
CP002684.1	1	30400000	30427671	27671	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	23031	0.8323154204763109
CP002685.1	1	0	1000000	1000000	1964	0.001964	1306	0.001306	19389	0.019389	25671	0.025671	8522	0.008522	3722888	3.722888
CP002685.1	1	100000	1100000	1000000	1964	0.001964	1306	0.001306	616	0.000616	0	0.0	673	0.000673	3685413	3.685413
CP002685.1	1	200000	1200000	1000000	1964	0.001964	1306	0.001306	616	0.000616	0	0.0	673	0.000673	3629273	3.629273
CP002685.1	1	300000	1300000	1000000	2447	0.002447	1472	0.001472	616	0.000616	0	0.0	2861	0.002861	3506377	3.506377
CP002685.1	1	400000	1400000	1000000	1173	0.001173	166	0.000166	736	0.000736	0	0.0	3186	0.003186	3463860	3.46386
CP002685.1	1	500000	1500000	1000000	1173	0.001173	166	0.000166	736	0.000736	1158	0.001158	4032	0.004032	3426889	3.426889
CP002685.1	1	600000	1600000	1000000	1173	0.001173	166	0.000166	736	0.000736	1158	0.001158	5499	0.005499	3444983	3.444983
CP002685.1	1	700000	1700000	1000000	17994	0.017994	166	0.000166	11794	0.011794	17744	0.017744	8082	0.008082	3403905	3.403905
CP002685.1	1	800000	1800000	1000000	22986	0.022986	5423	0.005423	16893	0.016893	20112	0.020112	13387	0.013387	3320362	3.320362
CP002685.1	1	900000	1900000	1000000	42900	0.0429	5423	0.005423	18885	0.018885	20521	0.020521	21143	0.021143	3213319	3.213319
CP002685.1	1	1000000	2000000	1000000	46486	0.046486	5423	0.005423	30754	0.030754	20521	0.020521	22151	0.022151	3140516	3.140516
CP002685.1	1	1100000	2100000	1000000	48900	0.0489	11285	0.011285	40535	0.040535	20657	0.020657	27008	0.027008	3080963	3.080963
CP002685.1	1	1200000	2200000	1000000	48900	0.0489	11285	0.011285	40535	0.040535	20657	0.020657	29150	0.02915	3012067	3.012067
CP002685.1	1	1300000	2300000	1000000	48601	0.048601	11119	0.011119	40535	0.040535	20657	0.020657	27743	0.027743	2987833	2.987833
CP002685.1	1	1400000	2400000	1000000	55921	0.055921	11119	0.011119	43205	0.043205	20657	0.020657	33310	0.03331	2942879	2.942879
CP002685.1	1	1500000	2500000	1000000	79812	0.079812	11828	0.011828	55929	0.055929	19499	0.019499	37412	0.037412	2944735	2.944735
CP002685.1	1	1600000	2600000	1000000	88099	0.088099	11828	0.011828	61116	0.061116	27436	0.027436	37811	0.037811	2908946	2.908946
CP002685.1	1	1700000	2700000	1000000	74666	0.074666	11828	0.011828	50240	0.05024	10850	0.01085	37522	0.037522	2902834	2.902834
CP002685.1	1	1800000	2800000	1000000	77299	0.077299	7095	0.007095	49333	0.049333	9397	0.009397	35602	0.035602	2936294	2.936294
CP002685.1	1	1900000	2900000	1000000	109835	0.109835	7548	0.007548	48927	0.048927	18355	0.018355	35877	0.035877	2942299	2.942299
CP002685.1	1	2000000	3000000	1000000	121169	0.121169	9361	0.009361	45176	0.045176	18355	0.018355	36412	0.036412	2961986	2.961986
CP002685.1	1	2100000	3100000	1000000	184573	0.184573	3499	0.003499	40777	0.040777	18968	0.018968	34329	0.034329	2910694	2.910694
CP002685.1	1	2200000	3200000	1000000	221638	0.221638	3499	0.003499	70855	0.070855	23536	0.023536	42205	0.042205	2871060	2.87106
CP002685.1	1	2300000	3300000	1000000	249271	0.249271	5177	0.005177	70855	0.070855	24720	0.02472	62392	0.062392	2854507	2.854507
CP002685.1	1	2400000	3400000	1000000	281121	0.281121	5177	0.005177	83655	0.083655	26023	0.026023	60108	0.060108	2868701	2.868701
CP002685.1	1	2500000	3500000	1000000	294940	0.29494	4468	0.004468	75646	0.075646	29248	0.029248	60202	0.060202	2821724	2.821724
CP002685.1	1	2600000	3600000	1000000	336707	0.336707	4468	0.004468	93519	0.093519	26525	0.026525	69408	0.069408	2739939	2.739939
CP002685.1	1	2700000	3700000	1000000	381243	0.381243	4468	0.004468	122553	0.122553	29316	0.029316	78143	0.078143	2705447	2.705447
CP002685.1	1	2800000	3800000	1000000	413966	0.413966	4298	0.004298	152000	0.152	29231	0.029231	82042	0.082042	2621984	2.621984
CP002685.1	1	2900000	3900000	1000000	426140	0.42614	11108	0.011108	174320	0.17432	26693	0.026693	82173	0.082173	2581123	2.581123
CP002685.1	1	3000000	4000000	1000000	456233	0.456233	13883	0.013883	203799	0.203799	28108	0.028108	90192	0.090192	2533999	2.533999
CP002685.1	1	3100000	4100000	1000000	426564	0.426564	17444	0.017444	199055	0.199055	29871	0.029871	91964	0.091964	2524423	2.524423
CP002685.1	1	3200000	4200000	1000000	456968	0.456968	17444	0.017444	183955	0.183955	29104	0.029104	97047	0.097047	2508528	2.508528
CP002685.1	1	3300000	4300000	1000000	487864	0.487864	16414	0.016414	191657	0.191657	34833	0.034833	87659	0.087659	2460082	2.460082
CP002685.1	1	3400000	4400000	1000000	486512	0.486512	16414	0.016414	196457	0.196457	33530	0.03353	85998	0.085998	2416151	2.416151
CP002685.1	1	3500000	4500000	1000000	510561	0.510561	18085	0.018085	202603	0.202603	30827	0.030827	89436	0.089436	2372219	2.372219
CP002685.1	1	3600000	4600000	1000000	514143	0.514143	18085	0.018085	199285	0.199285	33186	0.033186	89274	0.089274	2351483	2.351483
CP002685.1	1	3700000	4700000	1000000	488946	0.488946	19051	0.019051	169756	0.169756	41161	0.041161	87885	0.087885	2325141	2.325141
CP002685.1	1	3800000	4800000	1000000	501696	0.501696	20417	0.020417	153285	0.153285	42209	0.042209	92786	0.092786	2319292	2.319292
CP002685.1	1	3900000	4900000	1000000	460370	0.46037	13738	0.013738	133890	0.13389	35624	0.035624	91949	0.091949	2329378	2.329378
CP002685.1	1	4000000	5000000	1000000	455470	0.45547	9150	0.00915	112801	0.112801	36742	0.036742	87768	0.087768	2290080	2.29008
CP002685.1	1	4100000	5100000	1000000	459706	0.459706	5589	0.005589	146706	0.146706	44289	0.044289	95580	0.09558	2299565	2.299565
CP002685.1	1	4200000	5200000	1000000	422995	0.422995	5589	0.005589	145487	0.145487	49814	0.049814	87776	0.087776	2331315	2.331315
CP002685.1	1	4300000	5300000	1000000	394393	0.394393	4941	0.004941	144831	0.144831	65407	0.065407	81090	0.08109	2354137	2.354137
CP002685.1	1	4400000	5400000	1000000	371522	0.371522	4941	0.004941	150648	0.150648	79107	0.079107	85999	0.085999	2353849	2.353849
CP002685.1	1	4500000	5500000	1000000	316780	0.31678	3650	0.00365	147767	0.147767	79641	0.079641	85247	0.085247	2388730	2.38873
CP002685.1	1	4600000	5600000	1000000	281378	0.281378	3650	0.00365	146959	0.146959	72068	0.072068	74337	0.074337	2490010	2.49001
CP002685.1	1	4700000	5700000	1000000	261853	0.261853	2684	0.002684	146959	0.146959	61787	0.061787	70913	0.070913	2536141	2.536141
CP002685.1	1	4800000	5800000	1000000	210055	0.210055	964	0.000964	129791	0.129791	69149	0.069149	60462	0.060462	2629152	2.629152
CP002685.1	1	4900000	5900000	1000000	186757	0.186757	380	0.00038	125811	0.125811	81125	0.081125	53524	0.053524	2647605	2.647605
CP002685.1	1	5000000	6000000	1000000	161212	0.161212	380	0.00038	110158	0.110158	78592	0.078592	49217	0.049217	2719598	2.719598
CP002685.1	1	5100000	6100000	1000000	121878	0.121878	866	0.000866	75885	0.075885	68533	0.068533	41120	0.04112	2772359	2.772359
CP002685.1	1	5200000	6200000	1000000	91614	0.091614	866	0.000866	75183	0.075183	59207	0.059207	38109	0.038109	2808005	2.808005
CP002685.1	1	5300000	6300000	1000000	61503	0.061503	4793	0.004793	68137	0.068137	44528	0.044528	34419	0.034419	2868619	2.868619
CP002685.1	1	5400000	6400000	1000000	45866	0.045866	5128	0.005128	41627	0.041627	30828	0.030828	27091	0.027091	2912368	2.912368
CP002685.1	1	5500000	6500000	1000000	39186	0.039186	4748	0.004748	33647	0.033647	29772	0.029772	20055	0.020055	2897324	2.897324
CP002685.1	1	5600000	6600000	1000000	22385	0.022385	4748	0.004748	20835	0.020835	37656	0.037656	21994	0.021994	2885948	2.885948
CP002685.1	1	5700000	6700000	1000000	19183	0.019183	4748	0.004748	20835	0.020835	37171	0.037171	16418	0.016418	2922204	2.922204
CP002685.1	1	5800000	6800000	1000000	17883	0.017883	4748	0.004748	24481	0.024481	27931	0.027931	14684	0.014684	2914670	2.91467
CP002685.1	1	5900000	6900000	1000000	17883	0.017883	4748	0.004748	23950	0.02395	15883	0.015883	14297	0.014297	2985234	2.985234
CP002685.1	1	6000000	7000000	1000000	3315	0.003315	4748	0.004748	23095	0.023095	15883	0.015883	13640	0.01364	3043583	3.043583
CP002685.1	1	6100000	7100000	1000000	2264	0.002264	4262	0.004262	26946	0.026946	15883	0.015883	9302	0.009302	3064265	3.064265
CP002685.1	1	6200000	7200000	1000000	1770	0.00177	4262	0.004262	13889	0.013889	15883	0.015883	5016	0.005016	3116191	3.116191
CP002685.1	1	6300000	7300000	1000000	1770	0.00177	335	0.000335	14374	0.014374	8056	0.008056	3913	0.003913	3110559	3.110559
CP002685.1	1	6400000	7400000	1000000	2497	0.002497	0	0.0	14597	0.014597	8056	0.008056	5062	0.005062	3103502	3.103502
CP002685.1	1	6500000	7500000	1000000	2160	0.00216	0	0.0	14597	0.014597	8056	0.008056	4370	0.00437	3177053	3.177053
CP002685.1	1	6600000	7600000	1000000	2736	0.002736	353	0.000353	8475	0.008475	172	0.000172	3404	0.003404	3206077	3.206077
CP002685.1	1	6700000	7700000	1000000	2736	0.002736	353	0.000353	8475	0.008475	172	0.000172	2764	0.002764	3219610	3.21961
CP002685.1	1	6800000	7800000	1000000	2736	0.002736	353	0.000353	4829	0.004829	172	0.000172	2764	0.002764	3199106	3.199106
CP002685.1	1	6900000	7900000	1000000	2736	0.002736	353	0.000353	4829	0.004829	0	0.0	3004	0.003004	3185589	3.185589
CP002685.1	1	7000000	8000000	1000000	2736	0.002736	353	0.000353	4829	0.004829	0	0.0	2693	0.002693	3170612	3.170612
CP002685.1	1	7100000	8100000	1000000	2736	0.002736	353	0.000353	708	0.000708	0	0.0	2918	0.002918	3177899	3.177899
CP002685.1	1	7200000	8200000	1000000	2736	0.002736	353	0.000353	708	0.000708	0	0.0	2918	0.002918	3131838	3.131838
CP002685.1	1	7300000	8300000	1000000	2736	0.002736	353	0.000353	223	0.000223	0	0.0	2817	0.002817	3134719	3.134719
CP002685.1	1	7400000	8400000	1000000	2009	0.002009	353	0.000353	0	0.0	0	0.0	1668	0.001668	3146795	3.146795
CP002685.1	1	7500000	8500000	1000000	2009	0.002009	353	0.000353	0	0.0	0	0.0	1668	0.001668	3144797	3.144797
CP002685.1	1	7600000	8600000	1000000	1623	0.001623	353	0.000353	0	0.0	1112	0.001112	695	0.000695	3124576	3.124576
CP002685.1	1	7700000	8700000	1000000	1623	0.001623	353	0.000353	0	0.0	1112	0.001112	695	0.000695	3148319	3.148319
CP002685.1	1	7800000	8800000	1000000	1623	0.001623	499	0.000499	399	0.000399	1112	0.001112	695	0.000695	3151129	3.151129
CP002685.1	1	7900000	8900000	1000000	1623	0.001623	499	0.000499	399	0.000399	1112	0.001112	1295	0.001295	3152772	3.152772
CP002685.1	1	8000000	9000000	1000000	1623	0.001623	499	0.000499	1054	0.001054	1112	0.001112	1189	0.001189	3142187	3.142187
CP002685.1	1	8100000	9100000	1000000	1850	0.00185	499	0.000499	1054	0.001054	1112	0.001112	1104	0.001104	3133420	3.13342
CP002685.1	1	8200000	9200000	1000000	1850	0.00185	499	0.000499	3117	0.003117	8892	0.008892	1104	0.001104	3163744	3.163744
CP002685.1	1	8300000	9300000	1000000	3905	0.003905	499	0.000499	3117	0.003117	8892	0.008892	1104	0.001104	3168605	3.168605
CP002685.1	1	8400000	9400000	1000000	4195	0.004195	499	0.000499	3117	0.003117	8892	0.008892	2022	0.002022	3124466	3.124466
CP002685.1	1	8500000	9500000	1000000	4195	0.004195	499	0.000499	3117	0.003117	8892	0.008892	2022	0.002022	3098696	3.098696
CP002685.1	1	8600000	9600000	1000000	2815	0.002815	146	0.000146	3117	0.003117	7780	0.00778	6631	0.006631	3134083	3.134083
CP002685.1	1	8700000	9700000	1000000	2815	0.002815	146	0.000146	3117	0.003117	7780	0.00778	6631	0.006631	3118032	3.118032
CP002685.1	1	8800000	9800000	1000000	2815	0.002815	0	0.0	2718	0.002718	8095	0.008095	6936	0.006936	3138478	3.138478
CP002685.1	1	8900000	9900000	1000000	2815	0.002815	0	0.0	2718	0.002718	16032	0.016032	6598	0.006598	3106593	3.106593
CP002685.1	1	9000000	10000000	1000000	2815	0.002815	0	0.0	4035	0.004035	18377	0.018377	8448	0.008448	3038498	3.038498
CP002685.1	1	9100000	10100000	1000000	2588	0.002588	0	0.0	4136	0.004136	18377	0.018377	11243	0.011243	3009201	3.009201
CP002685.1	1	9200000	10200000	1000000	2588	0.002588	0	0.0	15257	0.015257	10771	0.010771	12050	0.01205	2918952	2.918952
CP002685.1	1	9300000	10300000	1000000	9401	0.009401	0	0.0	15257	0.015257	10771	0.010771	13826	0.013826	2885982	2.885982
CP002685.1	1	9400000	10400000	1000000	9111	0.009111	4672	0.004672	21292	0.021292	10771	0.010771	13278	0.013278	2925627	2.925627
CP002685.1	1	9500000	10500000	1000000	12322	0.012322	4672	0.004672	21292	0.021292	10771	0.010771	15499	0.015499	2906376	2.906376
CP002685.1	1	9600000	10600000	1000000	24934	0.024934	4672	0.004672	21806	0.021806	10771	0.010771	14987	0.014987	2742040	2.74204
CP002685.1	1	9700000	10700000	1000000	31137	0.031137	4672	0.004672	22566	0.022566	11750	0.01175	17555	0.017555	2644895	2.644895
CP002685.1	1	9800000	10800000	1000000	46862	0.046862	4998	0.004998	22566	0.022566	19693	0.019693	22624	0.022624	2592700	2.5927
CP002685.1	1	9900000	10900000	1000000	46862	0.046862	5352	0.005352	29976	0.029976	13573	0.013573	22640	0.02264	2582654	2.582654
CP002685.1	1	10000000	11000000	1000000	46862	0.046862	5352	0.005352	28004	0.028004	14012	0.014012	26230	0.02623	2573751	2.573751
CP002685.1	1	10100000	11100000	1000000	59554	0.059554	5492	0.005492	65454	0.065454	22329	0.022329	25839	0.025839	2487234	2.487234
CP002685.1	1	10200000	11200000	1000000	86558	0.086558	5492	0.005492	72137	0.072137	31108	0.031108	36671	0.036671	2457271	2.457271
CP002685.1	1	10300000	11300000	1000000	91716	0.091716	5492	0.005492	72598	0.072598	35068	0.035068	40435	0.040435	2420849	2.420849
CP002685.1	1	10400000	11400000	1000000	127678	0.127678	4362	0.004362	81367	0.081367	51011	0.051011	53538	0.053538	2304254	2.304254
CP002685.1	1	10500000	11500000	1000000	160506	0.160506	4362	0.004362	100367	0.100367	56314	0.056314	63112	0.063112	2254573	2.254573
